STASIUN 3;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;0,91;0,26;0,18;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
2;0,76;0,21;0,14;A > 0.5 T;Banyak;Ada;Ada;5;ENTOMOBRYOMORPHA
3;0,67;0,13;0,08;A > 0.5 T;Banyak;Ada;Tidak ada;1-2;PODUROMORPHA
4;0,53;0,06;0,09;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
5;1,77;0,47;0,22;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
6;0,75;0,19;0,14;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
7;2,14;0,81;0,34;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
8;2,36;0,55;0,48;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
9;1,77;0,31;0,26;A > 0.5 T;Sedikit;Ada;Ada;6-8;ENTOMOBRYOMORPHA
10;0,83;0,11;0,17;A < 0.5 T;Banyak;Tidak ada;Ada;6-8;ENTOMOBRYOMORPHA
11;0,82;0,14;0,22;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
12;2,42;0,62;0,48;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
13;1,04;0,49;0,2;A > 0.5 T;Banyak;Ada;Ada;6-8;ENTOMOBRYOMORPHA
14;2,02;0,44;0,37;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
15;1,98;0,6;0,41;A > 0.5 T;Banyak;Ada;Ada;5-7;PODUROMORPHA
16;2,11;0,5;0,33;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
17;1,64;0,57;0,32;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
18;1,17;0,35;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
19;1,23;0,39;0,08;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
20;0,77;0,19;0,15;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
21;0,73;0,22;0,15;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
22;0,88;0,16;0,18;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
23;0,65;0,21;0,14;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
24;0,81;0,21;0,18;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
25;1,04;0,63;0,4;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
26;0,84;0,27;0,17;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
27;0,8;0,25;0,15;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
28;1,31;0,2;0,21;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
29;0,78;0,11;0,16;A < 0.5 T;Banyak;Ada;Ada;1;ENTOMOBRYOMORPHA
30;1,94;0,47;0,36;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
31;0,55;0,08;0,1;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
32;0,29;0,12;0,09;A > 0.5 T;Banyak;Ada;Ada;5-6;SYMPHYPLEONA
;;;;;;;;;
PLOT 1 TITIK 2;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;1,65;1,05;0,36;A > 0.5 T;Banyak;Ada;Ada;2;ENTOMOBRYOMORPHA
2;0,81;0,21;0,18;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
3;0,31;0,19;0,08;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
4;0,72;0,17;0,18;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
5;0,69;0,12;0,09;A > 0.5 T;Banyak;Ada;Ada;2;PODUROMORPHA
6;1,72;0,62;0,36;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
7;0,75;0,52;0,19;A > 0.5 T;Banyak;Ada;Ada;4;SYMPHYPLEONA
8;1,89;0,25;0,46;A < 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
9;0,79;0,59;0,3;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
